Country,LABOR,EQ
USA,1.8194444444444444,2.585660070479805
China,0.4027777777777778,0.41090629800307216
Japan,1.7777777777777777,1.8644167344357097
Germany,1.7638888888888888,1.7154151983373995
UK,1.4861111111111112,2.0210535827234115
France,1.4722222222222223,1.445920303605313
India,0.2222222222222222,0.3184241438510888
Italy,1.4444444444444444,1.3399746995572421
Brazil,1.47,1.5
Canada,1.7222222222222223,1.3837083220384927
South Korea,1.0,1.0
Australia,1.3888888888888888,1.3628806361254178
Russia,0.6111111111111112,0.4517936206740761
Spain ,0.9583333333333334,0.9964308303966748
Mexico,0.4305555555555556,0.0
Czech,1.47,1.5013540900231057
