DATE,CURRENCY
2000-03-07,1118.5
2000-03-08,1119.0
2000-03-09,1122.0
2000-03-10,1119.0
2000-03-13,1120.0
2000-03-14,1118.2
2000-03-15,1118.2
2000-03-16,1117.0
2000-03-17,1117.2
2000-03-20,1117.9
2000-03-21,1116.0
2000-03-22,1112.5
2000-03-23,1109.5
2000-03-24,1108.0
2000-03-27,1112.0
2000-03-28,1112.0
2000-03-29,1109.1
2000-03-30,1107.0
2000-03-31,1105.0
2000-04-03,1112.2
2000-04-04,1113.0
2000-04-05,1114.5
2000-04-06,1111.0
2000-04-07,1107.0
2000-04-10,1109.5
2000-04-11,1109.5
2000-04-12,1108.0
2000-04-13,1106.0
2000-04-14,1111.0
2000-04-17,1113.0
2000-04-18,1110.0
2000-04-19,1109.3
2000-04-20,1108.9
2000-04-21,1108.4
2000-04-24,1108.7
2000-04-25,1108.0
2000-04-26,1108.0
2000-04-27,1110.0
2000-04-28,1109.5
2000-05-01,1109.0
2000-05-02,1109.5
2000-05-03,1109.8
2000-05-04,1111.0
2000-05-05,1111.0
2000-05-08,1109.6
2000-05-09,1109.0
2000-05-10,1109.0
2000-05-11,1112.0
2000-05-12,1113.0
2000-05-15,1114.0
2000-05-16,1114.0
2000-05-17,1115.0
2000-05-18,1118.0
2000-05-19,1121.0
2000-05-22,1130.5
2000-05-23,1133.0
2000-05-24,1132.5
2000-05-25,1129.8
2000-05-26,1134.0
2000-05-29,1137.2
2000-05-30,1136.0
2000-05-31,1129.0
2000-06-01,1132.0
2000-06-02,1125.0
2000-06-05,1117.0
2000-06-06,1116.0
2000-06-07,1113.1
2000-06-08,1115.0
2000-06-09,1114.5
2000-06-12,1113.3
2000-06-13,1113.9
2000-06-14,1114.0
2000-06-15,1114.5
2000-06-16,1116.2
2000-06-19,1121.8
2000-06-20,1119.0
2000-06-21,1119.2
2000-06-22,1118.7
2000-06-23,1119.0
2000-06-26,1118.0
2000-06-27,1118.1
2000-06-28,1116.0
2000-06-29,1114.5
2000-06-30,1114.9
2000-07-03,1113.7
2000-07-04,1115.2
2000-07-05,1116.5
2000-07-06,1116.5
2000-07-07,1118.0
2000-07-10,1118.0
2000-07-11,1116.0
2000-07-12,1115.0
2000-07-13,1109.8
2000-07-14,1112.6
2000-07-17,1112.6
2000-07-18,1113.5
2000-07-19,1112.1
2000-07-20,1111.5
2000-07-21,1112.6
2000-07-24,1113.9
2000-07-25,1115.0
2000-07-26,1115.0
2000-07-27,1114.0
2000-07-28,1116.5
2000-07-31,1116.6
2000-08-01,1115.7
2000-08-02,1115.6
2000-08-03,1114.7
2000-08-04,1115.0
2000-08-07,1117.0
2000-08-08,1116.0
2000-08-09,1114.3
2000-08-10,1114.4
2000-08-11,1115.0
2000-08-14,1116.0
2000-08-15,1116.0
2000-08-16,1115.1
2000-08-17,1114.0
2000-08-18,1115.0
2000-08-21,1114.4
2000-08-22,1113.9
2000-08-23,1114.0
2000-08-24,1114.1
2000-08-25,1114.0
2000-08-28,1111.0
2000-08-29,1110.1
2000-08-30,1108.5
2000-08-31,1108.7
2000-09-01,1105.0
2000-09-04,1104.3
2000-09-05,1105.2
2000-09-06,1107.3
2000-09-07,1110.0
2000-09-08,1108.5
2000-09-11,1108.5
2000-09-12,1109.0
2000-09-13,1109.0
2000-09-14,1115.1
2000-09-15,1119.8
2000-09-18,1125.0
2000-09-19,1126.0
2000-09-20,1126.0
2000-09-21,1126.0
2000-09-22,1133.0
2000-09-25,1124.0
2000-09-26,1119.0
2000-09-27,1114.0
2000-09-28,1115.7
2000-09-29,1115.0
2000-10-02,1117.9
2000-10-03,1117.0
2000-10-04,1119.0
2000-10-05,1117.5
2000-10-06,1115.0
2000-10-09,1116.0
2000-10-10,1119.0
2000-10-11,1121.0
2000-10-12,1120.0
2000-10-13,1129.0
2000-10-16,1127.0
2000-10-17,1133.0
2000-10-18,1137.0
2000-10-19,1128.0
2000-10-20,1131.0
2000-10-23,1139.0
2000-10-24,1135.0
2000-10-25,1137.0
2000-10-26,1132.0
2000-10-27,1135.0
2000-10-30,1137.0
2000-10-31,1136.0
2000-11-01,1135.3
2000-11-02,1133.8
2000-11-03,1133.3
2000-11-06,1132.0
2000-11-07,1136.0
2000-11-08,1133.5
2000-11-09,1130.0
2000-11-10,1134.0
2000-11-13,1138.0
2000-11-14,1136.0
2000-11-15,1135.7
2000-11-16,1138.3
2000-11-17,1141.5
2000-11-20,1154.0
2000-11-21,1165.0
2000-11-22,1176.0
2000-11-23,1193.0
2000-11-24,1187.0
2000-11-27,1186.0
2000-11-28,1186.0
2000-11-29,1201.0
2000-11-30,1214.0
2000-12-01,1208.0
2000-12-04,1217.0
2000-12-05,1198.0
2000-12-06,1198.0
2000-12-07,1198.0
2000-12-08,1189.0
2000-12-11,1180.0
2000-12-12,1190.0
2000-12-13,1191.4
2000-12-14,1202.0
2000-12-15,1207.0
2000-12-18,1204.0
2000-12-19,1208.0
2000-12-20,1216.0
2000-12-21,1226.8
2000-12-22,1237.0
2000-12-25,1237.0
2000-12-26,1252.0
2000-12-27,1257.0
2000-12-28,1252.0
2000-12-29,1263.0
2001-01-02,1277.0
2001-01-03,1269.5
2001-01-04,1262.3
2001-01-05,1261.5
2001-01-08,1263.0
2001-01-09,1251.3
2001-01-10,1269.0
2001-01-11,1277.2
2001-01-12,1280.0
2001-01-15,1285.0
2001-01-16,1281.8
2001-01-17,1277.0
2001-01-18,1284.0
2001-01-19,1272.0
2001-01-22,1273.1
2001-01-23,1273.1
2001-01-24,1275.0
2001-01-25,1275.5
2001-01-26,1279.9
2001-01-29,1264.0
2001-01-30,1263.5
2001-01-31,1256.0
2001-02-01,1256.0
2001-02-02,1249.0
2001-02-05,1261.0
2001-02-06,1257.0
2001-02-07,1260.0
2001-02-08,1265.0
2001-02-09,1263.0
2001-02-12,1264.1
2001-02-13,1251.5
2001-02-14,1250.5
2001-02-15,1241.0
2001-02-16,1242.0
2001-02-19,1245.0
2001-02-20,1232.0
2001-02-21,1238.0
2001-02-22,1240.8
2001-02-23,1248.5
2001-02-26,1246.8
2001-02-27,1248.0
2001-02-28,1253.1
2001-03-01,1261.0
2001-03-02,1266.0
2001-03-05,1273.0
2001-03-06,1261.0
2001-03-07,1265.0
2001-03-08,1267.0
2001-03-09,1268.8
2001-03-12,1278.0
2001-03-13,1274.0
2001-03-14,1285.0
2001-03-15,1284.0
2001-03-16,1292.0
2001-03-19,1293.0
2001-03-20,1295.0
2001-03-21,1295.0
2001-03-22,1321.0
2001-03-23,1308.0
2001-03-26,1310.6
2001-03-27,1310.0
2001-03-28,1300.0
2001-03-29,1321.0
2001-03-30,1330.0
2001-04-02,1349.0
2001-04-03,1340.0
2001-04-04,1367.0
2001-04-05,1347.0
2001-04-06,1342.1
2001-04-09,1337.0
2001-04-10,1332.0
2001-04-11,1320.0
2001-04-12,1316.0
2001-04-13,1325.0
2001-04-16,1329.0
2001-04-17,1324.0
2001-04-18,1314.0
2001-04-19,1298.0
2001-04-20,1312.9
2001-04-23,1312.5
2001-04-24,1306.0
2001-04-25,1307.7
2001-04-26,1316.0
2001-04-27,1327.5
2001-04-30,1315.0
2001-05-01,1315.0
2001-05-02,1302.0
2001-05-03,1294.0
2001-05-04,1291.5
2001-05-07,1296.0
2001-05-08,1302.0
2001-05-09,1301.7
2001-05-10,1305.0
2001-05-11,1296.0
2001-05-14,1297.0
2001-05-15,1303.0
2001-05-16,1308.0
2001-05-17,1301.9
2001-05-18,1303.9
2001-05-21,1301.0
2001-05-22,1295.0
2001-05-23,1286.0
2001-05-24,1284.0
2001-05-25,1288.9
2001-05-28,1295.0
2001-05-29,1289.0
2001-05-30,1288.0
2001-05-31,1280.0
2001-06-01,1282.0
2001-06-04,1284.0
2001-06-05,1286.0
2001-06-06,1285.0
2001-06-07,1285.0
2001-06-08,1285.0
2001-06-11,1287.0
2001-06-12,1289.0
2001-06-13,1291.0
2001-06-14,1291.0
2001-06-15,1291.0
2001-06-18,1299.0
2001-06-19,1303.0
2001-06-20,1303.0
2001-06-21,1301.0
2001-06-22,1302.0
2001-06-25,1301.0
2001-06-26,1298.0
2001-06-27,1295.0
2001-06-28,1302.0
2001-06-29,1298.0
2001-07-02,1297.0
2001-07-03,1292.0
2001-07-04,1294.5
2001-07-05,1294.0
2001-07-06,1289.0
2001-07-09,1294.0
2001-07-10,1295.0
2001-07-11,1304.0
2001-07-12,1295.0
2001-07-13,1298.0
2001-07-16,1305.0
2001-07-17,1306.0
2001-07-18,1302.0
2001-07-19,1295.0
2001-07-20,1295.0
2001-07-23,1305.0
2001-07-24,1305.0
2001-07-25,1300.0
2001-07-26,1291.0
2001-07-27,1290.0
2001-07-30,1295.0
2001-07-31,1293.0
2001-08-01,1287.0
2001-08-02,1279.0
2001-08-03,1277.0
2001-08-06,1277.0
2001-08-07,1280.0
2001-08-08,1275.0
2001-08-09,1279.0
2001-08-10,1274.0
2001-08-13,1274.0
2001-08-14,1274.0
2001-08-15,1274.0
2001-08-16,1274.0
2001-08-17,1274.0
2001-08-20,1276.0
2001-08-21,1274.0
2001-08-22,1273.0
2001-08-23,1274.0
2001-08-24,1271.0
2001-08-27,1271.0
2001-08-28,1271.0
2001-08-29,1272.0
2001-08-30,1274.0
2001-08-31,1278.0
2001-09-03,1279.0
2001-09-04,1280.0
2001-09-05,1284.0
2001-09-06,1272.0
2001-09-07,1287.0
2001-09-10,1280.0
2001-09-11,1286.0
2001-09-12,1284.5
2001-09-13,1290.0
2001-09-14,1296.0
2001-09-17,1298.5
2001-09-18,1296.0
